timestamp,orange,red
0.02,0.571794033,0.571794033
0.039999999,0.571794033,0.571794033
0.059999999,0.571794033,0.571794033
0.079999998,0.543205976,0.51461786
0.099999994,0.557500005,0.571794033
0.11999999,0.564647019,0.571794033
0.139999986,0.568220496,0.571794033
0.159999982,0.570007265,0.571794033
0.179999977,0.570900679,0.571794033
0.199999973,0.571347356,0.571794033
0.219999969,0.571570694,0.571794033
0.239999965,0.571682334,0.571794033
0.259999961,0.571738183,0.571794033
0.279999971,0.571766138,0.571794033
0.299999982,0.571780086,0.571794033
0.319999993,0.571787059,0.571794033
0.340000004,0.571790576,0.571794033
0.360000014,0.571792305,0.571794033
0.380000025,0.571793199,0.571794033
0.400000036,0.571793616,0.571794033
0.420000046,0.571793795,0.571794033
0.440000057,0.571793914,0.571794033
0.460000068,0.571793973,0.571794033
0.480000079,0.571794033,0.571794033
0.50000006,0.571794033,0.571794033
0.520000041,0.571794033,0.571794033
0.540000021,0.571794033,0.571794033
0.560000002,0.571794033,0.571794033
0.579999983,0.571794033,0.571794033
0.599999964,0.571794033,0.571794033
0.619999945,0.571794033,0.571794033
0.639999926,0.571794033,0.571794033
0.659999907,0.571794033,0.571794033
0.679999888,0.571794033,0.571794033
0.699999869,0.571794033,0.571794033
0.71999985,0.571794033,0.571794033
0.739999831,0.571794033,0.571794033
0.759999812,0.571794033,0.571794033
0.779999793,0.571794033,0.571794033
0.799999774,0.571794033,0.571794033
0.819999754,0.571794033,0.571794033
0.839999735,0.571794033,0.571794033
0.859999716,0.571794033,0.571794033
0.879999697,0.571794033,0.571794033
0.899999678,0.571794033,0.571794033
0.919999659,0.571794033,0.571794033
0.93999964,0.571794033,0.571794033
0.959999621,0.571794033,0.571794033
0.979999602,0.571794033,0.571794033
0.999999583,0.571794033,0.571794033
1.019999623,0.571794033,0.571794033
1.039999604,0.571794033,0.571794033
1.059999585,0.571794033,0.571794033
1.079999566,0.571794033,0.571794033
1.099999547,0.571794033,0.571794033
1.119999528,0.571794033,0.571794033
1.139999509,0.571794033,0.571794033
1.15999949,0.571794033,0.571794033
1.179999471,0.571794033,0.571794033
1.199999452,0.571794033,0.571794033
1.219999433,0.571794033,0.571794033
1.239999413,0.571794033,0.571794033
1.259999394,0.571794033,0.571794033
1.279999375,0.571794033,0.571794033
1.299999356,0.571794033,0.571794033
1.319999337,0.571794033,0.571794033
1.339999318,0.571794033,0.571794033
1.359999299,0.571794033,0.571794033
1.37999928,0.571794033,0.571794033
1.399999261,0.543205976,0.51461786
1.419999242,0.557500005,0.571794033
1.439999223,0.564647019,0.571794033
1.459999204,0.568220496,0.571794033
